,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,devrait,should
20,20,longtemps,long time
21,21,heures,hours
22,22,vont,will
23,23,pendant,while
24,24,revoir,meet again
25,26,place,square
26,27,parle,speak
27,28,compris,understood
28,29,savais,knew
29,30,étaient,were
30,31,attention,Warning
31,33,affaire,case
32,34,donner,give
33,35,type,type
34,37,train,train
35,38,endroit,place
36,40,façon,way
37,41,dont,whose
38,42,premier,first
39,43,perdu,lost
40,44,main,hand
41,45,première,first
42,46,côté,side
43,47,pouvoir,power
44,48,vieux,old
45,49,sois,be
46,50,matin,morning
47,51,tellement,so much
48,52,enfant,child
49,53,point,point
50,54,venu,came
51,55,suite,after
52,56,pardon,sorry
53,58,devant,in front of
54,59,vers,towards
55,60,minutes,minutes
56,61,demandé,request
57,62,chambre,bedroom
58,63,mis,placed
59,64,belle,beautiful
60,65,droit,law
61,66,aimerais,would like to
62,67,aujourd'hui,today
63,68,mari,husband
64,69,cause,cause
65,70,enfin,finally
66,71,espère,hope
67,72,eau,water
68,73,attendez,Wait
69,75,nouvelle,new
70,76,boulot,job
71,77,arrêter,Stop
72,78,dirait,would say
73,79,terre,Earth
74,80,compte,account
75,81,donne,given
76,82,fin,end
77,83,croire,believe
78,84,chérie,sweetheart
79,85,gros,large
80,86,aura,will have
81,87,filles,girls
82,88,jouer,to play
83,89,bureau,office
